"","","A-","A+","B-","B+","C-","C+","D-","D+","A-B-","A+B-","A-B+","A+B+","A-C-","A+C-","B-C-","B+C-","A-C+","A+C+","B-C+","B+C+","A-D-","A+D-","B-D-","B+D-","C-D-","C+D-","A-D+","A+D+","B-D+","B+D+","C-D+","C+D+","A-B-C-","A+B-C-","A-B+C-","A+B+C-","A-B-C+","A+B-C+","A-B+C+","A+B+C+","A-B-D-","A+B-D-","A-B+D-","A+B+D-","A-C-D-","A+C-D-","B-C-D-","B+C-D-","A-C+D-","A+C+D-","B-C+D-","B+C+D-","A-B-D+","A+B-D+","A-B+D+","A+B+D+","A-C-D+","A+C-D+","B-C-D+","B+C-D+","A-C+D+","A+C+D+","B-C+D+","B+C+D+","A-B-C-D-","A+B-C-D-","A-B+C-D-","A+B+C-D-","A-B-C+D-","A+B-C+D-","A-B+C+D-","A+B+C+D-","A-B-C-D+","A+B-C-D+","A-B+C-D+","A+B+C-D+","A-B-C+D+","A+B-C+D+","A-B+C+D+","A+B+C+D+"
"a501",318726,150126,168600,150237,168489,150034,168692,159590,159136,75162,75075,74964,93525,75017,75017,75191,74843,75109,93583,75046,93646,75122,84468,75198,84392,75139,84451,75004,84132,75039,84097,74895,84241,37520,37671,37497,37346,37642,37404,37467,56179,37658,37540,37464,46928,37552,37587,37759,37380,37570,46881,37439,47012,37504,37535,37500,46597,37465,37430,37432,37463,37539,46702,37607,46634,18875,18884,18677,18703,18783,18656,18787,28225,18645,18787,18820,18643,18859,18748,18680,27954
"a502",318686,149894,168792,150387,168299,150123,168563,159513,159173,75463,74924,74431,93868,74846,75277,75172,74951,75048,93515,75215,93348,75186,84327,75399,84114,75343,84170,74708,84465,74988,84185,74780,84393,37704,37468,37142,37809,37759,37456,37289,56059,38175,37224,37011,47103,37641,37702,37776,37567,37545,46625,37623,46547,37288,37700,37420,46765,37205,37575,37396,37384,37503,46890,37592,46801,19066,18710,18575,18992,19109,18514,18436,28111,18638,18758,18567,18817,18650,18942,18853,27948
"a503",318660,149868,168792,150410,168250,150233,168427,159546,159114,74918,75492,74950,93300,75021,75212,75421,74812,74847,93580,74989,93438,75153,84393,75495,84051,75084,84462,74715,84399,74915,84199,75149,83965,37528,37893,37493,37319,37390,37599,37457,55981,37597,37898,37556,46495,37534,37550,37771,37313,37619,46843,37724,46738,37321,37594,37394,46805,37487,37662,37650,37499,37228,46737,37265,46700,18752,19019,18782,18531,18845,18879,18774,27964,18776,18874,18711,18788,18545,18720,18683,28017
"a504",318788,149781,169007,150250,168538,150143,168645,159798,158990,75024,75226,74757,93781,75051,75092,75354,74789,74730,93915,74896,93749,75564,84234,75116,84682,75031,84767,74217,84773,75134,83856,75112,83878,37678,37676,37373,37416,37346,37550,37384,56365,37636,37480,37928,46754,37796,37235,37548,37483,37768,46999,37568,47199,37388,37746,36829,47027,37255,37857,37806,37306,36962,46916,37328,46550,18867,18681,18929,18554,18769,18799,18999,28200,18811,18995,18444,18862,18577,18751,18385,28165
"a505",318539,150374,168165,150260,168279,150500,168039,158737,159802,75223,75037,75151,93128,75352,75148,75169,75331,75022,93017,75091,92948,75031,83706,75002,83735,75014,83723,75343,84459,75258,84544,75486,84316,37532,37637,37820,37511,37691,37400,37331,55617,37693,37309,37338,46397,37649,37365,37483,37531,37382,46341,37519,46204,37530,37728,37813,46731,37703,37783,37686,37800,37640,46676,37572,46744,18782,18701,18867,18664,18911,18608,18471,27733,18750,18936,18953,18847,18780,18792,18860,27884
"a751",318668,150305,168363,149993,168675,150152,168516,159626,159042,74976,75017,75329,93346,75290,74862,75007,75145,75015,93501,74986,93530,75189,84437,74837,84789,75416,84210,75116,83926,75156,83886,74736,84306,37486,37521,37804,37341,37490,37496,37525,56005,37328,37509,37861,46928,37741,37675,37397,38019,37448,46762,37440,46770,37648,37508,37468,46418,37549,37187,37610,37126,37567,46739,37546,46760,18590,18807,19151,18868,18738,18702,18710,28060,18896,18714,18653,18473,18752,18794,18815,27945
"a752",318590,150272,168318,150368,168222,150051,168539,159387,159203,75104,75264,75168,93054,75251,74800,75234,74817,75021,93518,75134,93405,75372,84015,75167,84220,75089,84298,74900,84303,75201,84002,74962,84241,37717,37517,37534,37283,37387,37747,37634,55771,37732,37435,37640,46580,37569,37520,37685,37404,37803,46495,37482,46816,37372,37829,37528,46474,37682,37280,37549,37413,37218,47023,37652,46589,18891,18794,18678,18726,18841,18641,18962,27854,18826,18723,18856,18557,18546,19106,18672,27917
"a753",318574,150123,168451,150342,168232,150432,168142,159625,158949,75180,75162,74943,93289,75331,75101,75239,75193,74792,93350,75103,93039,75097,84528,75423,84202,75632,83993,75026,83923,74919,84030,74800,84149,37705,37534,37626,37567,37475,37628,37317,55722,37693,37730,37404,46798,37766,37866,37994,37638,37331,46662,37429,46564,37487,37432,37539,46491,37565,37235,37245,37555,37461,46688,37674,46475,19029,18965,18737,18901,18664,18765,18667,27897,18676,18569,18889,18666,18811,18863,18650,27825
"a754",318695,149994,168701,149831,168864,149932,168763,159539,159156,74684,75147,75310,93554,75155,74777,74749,75183,74839,93924,75082,93681,75284,84255,75018,84521,74955,84584,74710,84446,74813,84343,74977,84179,37441,37308,37714,37469,37243,37839,37596,56085,37421,37597,37863,46658,37659,37296,37472,37483,37625,46959,37546,47038,37263,37550,37447,46896,37496,37481,37277,37700,37214,46965,37536,46643,18768,18704,18891,18592,18653,18893,18972,28066,18673,18604,18823,18877,18590,18946,18624,28019
"a755",318510,150466,168044,150765,167745,150410,168100,158899,159611,75526,75239,74940,92805,75513,74897,75587,74823,74953,93147,75178,92922,74978,83921,75190,83709,74872,84027,75488,84123,75575,84036,75538,84073,37964,37623,37549,37274,37562,37616,37391,55531,37672,37518,37306,46403,37473,37399,37567,37305,37505,46522,37623,46404,37854,37721,37634,46402,38040,37498,38020,37518,37448,46625,37555,46518,18791,18776,18682,18623,18881,18742,18624,27780,19173,18847,18867,18651,18681,18874,18767,27751
